 conserved    temp
    0.1125052847E+03    0.1851997809E-07
    0.1125052303E+03    0.1726938080E-10
    0.1125052816E+03    0.2188442748E-20
    0.1125052998E+03    0.7445950311E-15
    0.1125053671E+03    0.4311712670E+00
    0.1125052634E+03    0.3309922688E-05
    0.1125053534E+03    0.1687511739E-15
    0.1125053601E+03    0.8763391086E-16
    0.1125053107E+03    0.6068180498E-03
    0.1125053127E+03    0.9245422676E-08
    0.1125053274E+03    0.2071605160E-15
    0.1125053848E+03    0.7188367565E-18
    0.1125055400E+03    0.2326982787E+00
    0.1125053049E+03    0.9803234333E-13
    0.1125053065E+03    0.1808766759E-17
    0.1125053876E+03    0.3619738046E-16
    0.1125057581E+03    0.1462247034E-01
    0.1125053802E+03    0.4916532444E-15
    0.1125053372E+03    0.3256720611E-16
    0.1125053889E+03    0.2710028981E-13
    0.1125057636E+03    0.7644018230E-03
    0.1125054842E+03    0.1131332157E-16
    0.1125054557E+03    0.7094614371E-15
    0.1125054433E+03    0.2733288027E-03
    0.1125054603E+03    0.1579104219E-11
    0.1125054328E+03    0.1651903671E-15
    0.1125054359E+03    0.1709288335E-15
    0.1125057569E+03    0.3532765862E-01
    0.1125053997E+03    0.9850911725E-16
    0.1125053869E+03    0.2623458806E-16
    0.1125053976E+03    0.2227461445E-12
    0.1125054244E+03    0.6093435313E-03
    0.1125054731E+03    0.1008768189E-16
    0.1125054833E+03    0.4731816836E-16
    0.1125056025E+03    0.2169525717E+00
    0.1125054951E+03    0.9465916165E-13
    0.1125054625E+03    0.2074794064E-16
    0.1125054735E+03    0.2225059497E-11
    0.1125054925E+03    0.4643361609E-03
    0.1125055439E+03    0.3006273467E-18
    0.1125055178E+03    0.5445203326E-16
    0.1125056819E+03    0.2329954927E+00
    0.1125055010E+03    0.1000481047E-12
    0.1125055030E+03    0.8195164999E-16
    0.1125055498E+03    0.6179131995E-11
    0.1125055353E+03    0.1062129795E-04
    0.1125055673E+03    0.6511581380E-19
    0.1125055254E+03    0.3083090341E-11
    0.1125055215E+03    0.4896793948E-05
    0.1125055367E+03    0.8757590425E-14
    0.1125055248E+03    0.1710107824E-15
    0.1125055566E+03    0.2681262344E-08
    0.1125056055E+03    0.7928139233E-09
    0.1125056324E+03    0.2658830249E-19
    0.1125055886E+03    0.1803255063E-08
    0.1125055939E+03    0.4638727648E-09
    0.1125055446E+03    0.2092232571E-15
    0.1125055454E+03    0.6494176857E-14
    0.1125055982E+03    0.1984678179E-06
    0.1125055962E+03    0.1200083488E-11
    0.1125056441E+03    0.2416124929E-18
    0.1125056205E+03    0.6983190266E-04
    0.1125055814E+03    0.7122713441E-12
    0.1125055578E+03    0.2196020613E-16
    0.1125055867E+03    0.1832597888E-11
    0.1125055822E+03    0.4141116975E-02
    0.1125056260E+03    0.3049200771E-14
    0.1125056402E+03    0.1539732238E-17
    0.1125056593E+03    0.2842782538E+00
    0.1125056458E+03    0.1495311756E-15
    0.1125055947E+03    0.1900970368E-15
    0.1125055883E+03    0.1067651125E-04
    0.1125055536E+03    0.1085938641E-07
    0.1125055674E+03    0.2948938170E-16
    0.1125056261E+03    0.2908991363E-14
    0.1125056256E+03    0.5538928189E-03
    0.1125056256E+03    0.2528015561E-19
    0.1125056121E+03    0.3851185887E-13
    0.1125058868E+03    0.1837278809E-02
    0.1125055693E+03    0.2983977765E-12
    0.1125055503E+03    0.4642155676E-16
    0.1125055702E+03    0.5459429297E-13
    0.1125056020E+03    0.3869928389E-05
    0.1125056214E+03    0.5614128668E-19
    0.1125055642E+03    0.4141909822E-11
    0.1125055547E+03    0.5782197866E-05
    0.1125055681E+03    0.2795934072E-14
    0.1125055586E+03    0.7530708410E-16
    0.1125055978E+03    0.7504075079E-07
    0.1125055827E+03    0.4616780812E-09
    0.1125056202E+03    0.8642962979E-19
    0.1125055877E+03    0.1202700924E-07
    0.1125056139E+03    0.1429198450E-09
    0.1125055833E+03    0.7339141313E-17
    0.1125056053E+03    0.4536298828E-16
    0.1125056335E+03    0.9760785617E-01
    0.1125056411E+03    0.6227355802E-13
    0.1125056568E+03    0.1369175938E-17
    0.1125056590E+03    0.1932565577E-03
    0.1125056713E+03    0.3757682643E-15
    0.1125056297E+03    0.2454637491E-16
    0.1125056369E+03    0.1180076688E-07
    0.1125056244E+03    0.1697428435E-07
    0.1125056630E+03    0.3610343085E-16
    0.1125056816E+03    0.3167958353E-19
    0.1125057911E+03    0.1593269112E+00
    0.1125057389E+03    0.4859718357E-17
    0.1125057100E+03    0.6291967626E-15
    0.1125056689E+03    0.2271281299E+00
    0.1125056600E+03    0.1194171184E-12
    0.1125056293E+03    0.1201488851E-15
    0.1125056579E+03    0.1620099196E-09
    0.1125056496E+03    0.5421208161E-05
    0.1125057018E+03    0.9101453124E-17
    0.1125057281E+03    0.7687884775E-15
    0.1125057090E+03    0.2062952049E-07
    0.1125057169E+03    0.1046634894E-16
    0.1125056967E+03    0.5053052859E-14
    0.1125056707E+03    0.1224517286E+00
    0.1125056741E+03    0.7280621510E-13
    0.1125056731E+03    0.2555537023E-16
    0.1125057259E+03    0.5666706737E-10
    0.1125057292E+03    0.4037187503E-09
    0.1125057379E+03    0.6894152307E-19
    0.1125056919E+03    0.4430910187E-09
    0.1125056899E+03    0.1576586590E-07
    0.1125056428E+03    0.1980576873E-15
    0.1125056546E+03    0.1228131431E-13
    0.1125056531E+03    0.4529775142E-02
    0.1125056831E+03    0.9663180136E-14
    0.1125057013E+03    0.1270033936E-17
    0.1125057067E+03    0.6351396315E-04
    0.1125057330E+03    0.2484760828E-13
    0.1125057063E+03    0.4635117293E-18
    0.1125056545E+03    0.1021701354E-07
    0.1125056636E+03    0.8594400293E-07
    0.1125056472E+03    0.8464483036E-16
    0.1125056891E+03    0.1146832211E-14
    0.1125059986E+03    0.6921926835E-01
    0.1125057500E+03    0.9100283487E-16
    0.1125057383E+03    0.2028290331E-15
    0.1125060392E+03    0.8230001056E-02
    0.1125056736E+03    0.2425890682E-13
    0.1125056719E+03    0.1193959127E-16
    0.1125056576E+03    0.4205773311E-08
    0.1125056878E+03    0.2787173970E-06
    0.1125057048E+03    0.9635561991E-17
    0.1125057307E+03    0.2822551777E-15
    0.1125057475E+03    0.5660153245E-04
    0.1125057201E+03    0.4889369216E-17
    0.1125056681E+03    0.3896146414E-13
    0.1125059891E+03    0.2766074355E-02
    0.1125056544E+03    0.1818966930E-12
    0.1125056934E+03    0.5991655443E-16
    0.1125057141E+03    0.1663769824E-09
    0.1125056862E+03    0.8682582168E-09
    0.1125057262E+03    0.1179646414E-18
    0.1125057004E+03    0.7036590509E-09
    0.1125056673E+03    0.1843820716E-09
    0.1125056591E+03    0.2326797866E-17
    0.1125056320E+03    0.8580701015E-13
    0.1125057958E+03    0.2748767659E+00
    0.1125056622E+03    0.1474195154E-12
    0.1125057233E+03    0.1859896010E-18
    0.1125057565E+03    0.2798216216E-06
    0.1125057465E+03    0.5539622062E-14
    0.1125056861E+03    0.3238973194E-17
    0.1125056751E+03    0.6752440269E-07
    0.1125056515E+03    0.3976262914E-08
    0.1125056710E+03    0.5930149028E-16
    0.1125056772E+03    0.1604959846E-13
